nome_misura;regione;numero progetti
1.3.1 Piattaforma Digitale Nazionale Dati;Abruzzo;446
1.3.1 Piattaforma Digitale Nazionale Dati;Basilicata;186
1.3.1 Piattaforma Digitale Nazionale Dati;Calabria;513
1.3.1 Piattaforma Digitale Nazionale Dati;Campania;772
1.3.1 Piattaforma Digitale Nazionale Dati;Emilia-Romagna;448
1.3.1 Piattaforma Digitale Nazionale Dati;Friuli-Venezia Giulia;176
1.3.1 Piattaforma Digitale Nazionale Dati;Lazio;463
1.3.1 Piattaforma Digitale Nazionale Dati;Liguria;266
1.3.1 Piattaforma Digitale Nazionale Dati;Lombardia;1470
1.3.1 Piattaforma Digitale Nazionale Dati;Marche;233
1.3.1 Piattaforma Digitale Nazionale Dati;Molise;201
1.3.1 Piattaforma Digitale Nazionale Dati;Piemonte;1222
1.3.1 Piattaforma Digitale Nazionale Dati;Puglia;372
1.3.1 Piattaforma Digitale Nazionale Dati;Sardegna;293
1.3.1 Piattaforma Digitale Nazionale Dati;Sicilia;512
1.3.1 Piattaforma Digitale Nazionale Dati;Toscana;297
1.3.1 Piattaforma Digitale Nazionale Dati;Trentino-Alto Adige/Südtirol;358
1.3.1 Piattaforma Digitale Nazionale Dati;Umbria;95
1.3.1 Piattaforma Digitale Nazionale Dati;Valle d'Aosta/Vallée d'Aoste;75
1.3.1 Piattaforma Digitale Nazionale Dati;Veneto;679
