nome_misura;regione;numero_progetti
1.4.3 Adozione PagoPA e AppIO - PagoPA;Abruzzo;306
1.4.3 Adozione PagoPA e AppIO - PagoPA;Basilicata;130
1.4.3 Adozione PagoPA e AppIO - PagoPA;Calabria;388
1.4.3 Adozione PagoPA e AppIO - PagoPA;Campania;551
1.4.3 Adozione PagoPA e AppIO - PagoPA;Emilia-Romagna;340
1.4.3 Adozione PagoPA e AppIO - PagoPA;Friuli-Venezia Giulia;113
1.4.3 Adozione PagoPA e AppIO - PagoPA;Lazio;359
1.4.3 Adozione PagoPA e AppIO - PagoPA;Liguria;180
1.4.3 Adozione PagoPA e AppIO - PagoPA;Lombardia;1201
1.4.3 Adozione PagoPA e AppIO - PagoPA;Marche;195
1.4.3 Adozione PagoPA e AppIO - PagoPA;Molise;128
1.4.3 Adozione PagoPA e AppIO - PagoPA;Piemonte;1011
1.4.3 Adozione PagoPA e AppIO - PagoPA;Puglia;246
1.4.3 Adozione PagoPA e AppIO - PagoPA;Sardegna;299
1.4.3 Adozione PagoPA e AppIO - PagoPA;Sicilia;377
1.4.3 Adozione PagoPA e AppIO - PagoPA;Toscana;258
1.4.3 Adozione PagoPA e AppIO - PagoPA;Trentino-Alto Adige/Südtirol;113
1.4.3 Adozione PagoPA e AppIO - PagoPA;Umbria;61
1.4.3 Adozione PagoPA e AppIO - PagoPA;Valle d'Aosta/Vallée d'Aoste;65
1.4.3 Adozione PagoPA e AppIO - PagoPA;Veneto;434
