nome_misura;regione;numero progetti
1.4.4 Adozione identità digitale - ANSC;Abruzzo;296
1.4.4 Adozione identità digitale - ANSC;Basilicata;120
1.4.4 Adozione identità digitale - ANSC;Calabria;362
1.4.4 Adozione identità digitale - ANSC;Campania;529
1.4.4 Adozione identità digitale - ANSC;Emilia-Romagna;324
1.4.4 Adozione identità digitale - ANSC;Friuli-Venezia Giulia;159
1.4.4 Adozione identità digitale - ANSC;Lazio;347
1.4.4 Adozione identità digitale - ANSC;Liguria;212
1.4.4 Adozione identità digitale - ANSC;Lombardia;1413
1.4.4 Adozione identità digitale - ANSC;Marche;212
1.4.4 Adozione identità digitale - ANSC;Molise;133
1.4.4 Adozione identità digitale - ANSC;Piemonte;1138
1.4.4 Adozione identità digitale - ANSC;Puglia;248
1.4.4 Adozione identità digitale - ANSC;Sardegna;348
1.4.4 Adozione identità digitale - ANSC;Sicilia;365
1.4.4 Adozione identità digitale - ANSC;Toscana;265
1.4.4 Adozione identità digitale - ANSC;Trentino-Alto Adige/Südtirol;257
1.4.4 Adozione identità digitale - ANSC;Umbria;85
1.4.4 Adozione identità digitale - ANSC;Valle d'Aosta/Vallée d'Aoste;74
1.4.4 Adozione identità digitale - ANSC;Veneto;542
